,title,rating,aftertaste,aroma,body,flavor,blind_assessment,coffee_origin,est_price,roast_level,roaster,roaster_location,dollars_per_ounce
3014,Kenya AA Othaya,91,8.0,9,8,8,"['sweetly', 'tart', 'pungently', 'dry', 'berry', 'dominates', 'softened', 'by', 'a', 'backgrounded', 'dark', 'chocolate', 'and', 'perhaps', 'a', 'hint', 'of', 'savory', 'clove', 'rich', 'acidity;', 'very', 'smooth', 'silky', 'mouthfeel', 'the', 'dry-sweet', 'berry', 'notes', 'carry', 'into', 'a', 'balanced', 'finish']","Nyeri growing region, south-central Kenya",15.00/12 ounces,Medium,Rex Roasting,"Terre Haute, Indiana",1.25
3015,Kenya Nyeri Kahindu Estate,93,7.0,9,8,10,"['nectar-like', 'sweetness', 'with', 'distinct', 'floral', 'and', 'apricot', 'notes;', 'hints', 'of', 'cocoa', 'and', 'pungent', 'fir', 'delicate', 'lucid', 'acidity;', 'light', 'but', 'very', 'silky', 'mouthfeel', 'simplifies', 'just', 'a', 'bit', 'in', 'a', 'sweet', 'but', 'drying', 'finish', '']","Nyeri growing region, south-central Kenya",16.20/12 ounces,Medium,Bard Coffee,"Portland, Maine",1.35
3016,Northern Lights Blend,89,7.0,8,7,9,"['balanced', 'quiet', 'blend', 'with', 'just', 'a', 'hint', 'of', 'dark-roast', 'character', 'caramel', 'cedar', 'plum', 'and', 'hints', 'of', 'dark', 'chocolate', 'in', 'aroma', 'and', 'cup', 'gentle', 'roast-rounded', 'acidity;', 'smoothly', 'light', 'mouthfeel', 'the', 'caramel', 'turns', 'toward', 'chocolate', 'in', 'a', 'simple', 'but', 'agreeably', 'balanced', 'finish', '']","Kenya; Tanzania; Guatemala; Costa Rica; Sumatra, Indonesia.",10.95/12 ounces,Medium-Dark,Cafe Excellence,"Audubon, Pennsylvania",0.9125
3017,100 Percent Kona Coffee Extra Fancy Medium Roast,90,7.0,8,8,9,"['cedar', 'plum', 'almond', 'and', 'a', 'delicate', 'sweet-toned', 'dark', 'chocolate', 'in', 'aroma', 'and', 'cup', 'the', 'chocolate', 'moves', 'forward', 'and', 'gracefully', 'dominates', 'in', 'the', 'cup', 'soft', 'roast-rounded', 'acidity;', 'silky', 'mouthfeel', 'chocolate', 'sweetness', 'balances', 'a', 'slight', 'roasty', 'astringency', 'in', 'the', 'finish', '']","Kona growing district, ""Big Island"" of Hawaii.",32.00/16 ounces,Medium-Dark,Kona Cafe,"Captain Cook, Hawaii",2.0
3018,Breakfast Blend,90,7.0,8,8,9,"['attractive', 'dark', 'chocolate', 'apricot', 'hints', 'of', 'fresh-cut', 'cedar', 'and', 'orange', 'in', 'aroma', 'and', 'cup', 'delicate', 'balanced', 'acidity;', 'light', 'but', 'smoothly', 'silky', 'mouthfeel', 'recollections', 'of', 'chocolate', 'and', 'a', 'rather', 'zesty', 'orange', 'survive', 'in', 'a', 'relatively', 'fast-fading', 'finish', '']",Brazil; Mexico.,9.44/12 ounces,Medium-Light,Cafe Excellence,"Audubon, Pennsylvania",0.7866666666666666
3019,100 Percent Mexican Organic,91,9.0,8,7,8,"['great', 'sweetness', 'is', 'balance', 'by', 'crisp', 'lemon', 'and', 'blackberry', 'bright', 'but', 'very', 'sweet', 'acidity;', 'light', 'silky', 'mouthfeel', 'chocolate', 'rounds', 'the', 'lemony', 'blackberry', 'in', 'the', 'cup', 'flavor', 'and', 'sweetness', 'both', 'carry', 'deep', 'into', 'a', 'rich', 'finish']","Oaxaca State, Mexico",8.00/16 ounces,Medium-Light,Finca Las Nieves,"San Juan Lachao, Oaxaca, Mexico",0.5
3020,Fruitbomb Espresso,92,8.0,9,8,9,"['evaluated', 'as', 'espresso', 'complex', 'cherry-and-chocolate', 'notes', 'in', 'the', 'small', 'cup', 'with', 'hints', 'of', 'flowers', 'and', 'brandy', 'syrupy', 'mouthfeel;', 'rich', 'long', 'cherry-toned', 'finish', 'turns', 'crisp', 'in', 'two', 'parts', 'milk', 'with', 'less', 'fruit', 'and', 'more', 'nut', 'in', 'the', 'chocolate', '']",Not disclosed,38.00/16 ounces,Medium,CofFeeling,"Kaohsiung City, Taiwan",2.375
3021,Costa Rica Tarrazu Microlot El Liano,90,7.0,8,8,9,"['richly', 'tart', 'and', 'ripely', 'citrusy', 'the', 'lemon', 'and', 'orange', 'notes', 'are', 'softened', 'by', 'a', 'backgrounded', 'milk', 'chocolate', 'and', 'hints', 'of', 'sweet', 'almond', 'and', 'night', 'flowers', 'richly', 'round', 'acidity;', 'lightly', 'syrupy', 'mouthfeel', 'flavor', 'simplifies', 'in', 'a', 'dry', 'but', 'refreshing', 'finish']","Tarrazu growing region, Costa Rica.",16.20/12 ounces,Medium-Light,Bard Coffee,"Portland, Maine",1.35
3022,Wata Dara Ethiopian Sidamo Fair Trade Organic,92,8.0,9,8,9,"['deeply', 'and', 'crisply', 'lush', 'ripe', 'orange', 'and', 'nectarine', 'night', 'flowers', 'very', 'aromatic', 'fresh-cut', 'cedar', 'in', 'aroma', 'and', 'cup', 'balanced', 'rich', 'acidity;', 'light', 'but', 'silky', 'mouthfeel', 'long', 'cleanly', 'resonant', 'finish']","Sidama (also Sidamo) growing region, southern Ethiopia.",12.99/12 ounces,Medium-Light,JBC Coffee Roasters,"Madison, Wisconsin",1.0825
3023,Ethiopia Yirgacheffe ECX Top Lot,92,8.0,9,8,9,"['bracingly', 'bittersweet', 'in', 'structure', 'and', 'briskly', 'complex', 'in', 'flavor', 'flowers', 'honey', 'raspberry', 'nut-toned', 'cocoa', 'and', 'more', 'in', 'aroma', 'and', 'cup', 'crisp', 'lemony', 'acidity;', 'light', 'but', 'silky', 'mouthfeel', 'the', 'same', 'exhilarating', 'balance', 'of', 'sweet', 'and', 'bitter', 'prevails', 'in', 'a', 'cocoa-toned', 'finish', '', '']","Yirgacheffe growing region, southern Ethiopia.",14.95/12 ounces,Medium-Light,Paradise Roasters,"Ramsey, Minnesota",1.2458333333333331
