,0
816,notes
817,plum
818,plumeria
819,dark
820,chocolate
821,sweetly
822,tart
823,fruit
824,driven
825,chocolaty
826,berry
827,melange
828,dark
829,chocolate
830,freesia
831,flowers
832,cedar
833,pink
834,peppercorn
835,aroma
836,cup
837,brightly
838,sweet
839,vibrant
840,high
841,acidity
842,lively
843,syrupy
844,mouthfeel
845,long
846,lingering
847,flavor
848,saturated
849,finish
850,juicy
851,bright
852,deep
853,complexly
854,layered
855,vibrantly
856,aromatic
857,black
858,cherry
859,honeysuckle
860,cocoa
861,nib
862,sugar
863,cane
864,lemon
865,balm
866,aroma
867,cup
868,richly
869,bittersweet
870,structure
871,tart
872,juicy
873,acidity
874,crisp
875,satiny
876,mouthfeel
877,long
878,nuanced
879,resonant
880,finish
881,evaluated
882,espresso
883,richly
884,sweet
885,crisply
886,chocolaty
887,dark
888,chocolate
889,hazelnut
890,candy
891,apple
892,orange
893,zest
894,fresh
895,cut
896,cedar
897,aroma
898,cup
899,satiny
900,smooth
901,mouthfeel
902,resonant
903,chocolaty
904,finish
905,hazelnut
906,undertones
907,three
908,parts
909,milk
910,chocolate
911,notes
912,amplified
913,remain
914,balance
915,hazelnut
916,cedar
917,suggestions
918,delicately
919,fruit
920,floral
921,magnolia
922,apricot
923,amber
924,cocoa
925,nib
926,sandalwood
927,aroma
928,cup
929,sweetly
930,tart
931,gently
932,bright
933,acidity
934,vibrantly
935,silky
936,mouthfeel
937,resonant
938,finish
939,leads
940,notes
941,magnolia
942,apricot
943,rounding
944,cocoa
945,amber
946,long
947,richly
948,sweet
949,savory
950,ripe
951,heirloom
952,tomato
953,pomegranate
954,cocoa
955,nib
956,sage
957,narcissus
958,aroma
959,cup
960,complex
961,sweet
962,savory
963,tart
964,structure
965,elegantly
966,bright
967,acidity
968,plush
969,syrupy
970,smooth
971,mouthfeel
972,long
973,lingering
974,flavor
975,saturated
976,finish
977,foregrounds
978,tomato
979,pomegranate
980,cocoa
981,notes
982,deeply
983,sweet
984,nut
985,cashew
986,butter
987,cocoa
988,nib
989,date
990,tiger
991,lily
992,fresh
993,cut
994,fir
995,aroma
996,cup
997,crisply
998,sweet
999,structure
1000,balanced
1001,acidity
1002,delicate
1003,silky
1004,mouthfeel
1005,creamy
1006,cashew
1007,notes
1008,lead
1009,short
1010,finish
1011,tiger
1012,lily
1013,date
1014,resurfacing
1015,long
1016,richly
1017,chocolaty
1018,deep
1019,dark
1020,chocolate
1021,hop
1022,flowers
1023,black
1024,cherry
1025,cinammon
1026,fresh
1027,cut
1028,cedar
1029,aroma
1030,cup
1031,bittersweet
1032,structure
1033,gentle
1034,round
1035,acidity
1036,plush
1037,creamy
1038,mouthfeel
1039,chocolaty
1040,finish
1041,supporting
1042,notes
1043,hop
1044,flowers
1045,cinnamon
1046,fruit
1047,saturated
1048,sweetly
1049,fermenty
1050,concord
1051,grape
1052,dark
1053,chocolate
1054,vanilla
1055,orchid
1056,wine
1057,barrel
1058,tangerine
1059,zest
1060,aroma
1061,cup
1062,brightly
1063,sweet
1064,tart
1065,structure
1066,juicy
1067,acidity
1068,full
1069,satiny
1070,mouthfeel
1071,fruit
1072,finish
1073,notes
1074,wine
1075,barrel
1076,long
1077,evaluated
1078,espresso
1079,richly
1080,fruit
1081,chocolaty
1082,tiramisu
1083,raspberry
1084,coulis
1085,almond
1086,butter
1087,hop
1088,flowers
1089,cedar
1090,aroma
1091,small
1092,cup
1093,viscous
1094,satiny
1095,mouthfeel
1096,crisply
1097,tart
1098,finish
1099,notes
1100,raspberry
1101,cedar
1102,cappuccino
1103,scaled
1104,milk
1105,raspberry
1106,creamy
1107,chocolate
1108,notes
1109,take
1110,center
1111,stage
1112,elegantly
1113,bright
1114,delicately
1115,juicy
1116,richly
1117,aromatic
1118,cocoa
1119,nib
1120,ginger
1121,flower
1122,apricot
1123,pink
1124,grapefruit
1125,zest
1126,hint
1127,thyme
1128,aroma
1129,cup
1130,sweet
1131,tart
1132,structure
1133,juicy
1134,acidity
1135,plush
1136,syrupy
1137,mouthfeel
1138,resonant
1139,long
1140,flavor
1141,saturated
1142,finish
1143,richly
1144,sweet
1145,tart
1146,deeply
1147,chocolaty
1148,dark
1149,chocolate
1150,pomegranate
1151,lemon
1152,verbena
1153,agave
1154,syrup
1155,pink
1156,grapefruit
1157,zest
1158,aroma
1159,cup
1160,sweetly
1161,tart
1162,structure
1163,apple
1164,malic
1165,acidity
1166,full
1167,smooth
1168,viscous
1169,mouthfeel
1170,finish
1171,consolidates
1172,notes
1173,pomegranate
1174,dark
1175,chocolate
1176,undertones
1177,pink
1178,grapefruit
1179,zest
1180,elegantly
1181,fruit
1182,gently
1183,spice
1184,driven
1185,date
1186,clove
1187,blood
1188,orange
1189,baking
1190,chocolate
1191,cedar
1192,aroma
1193,cup
1194,complex
1195,bittersweet
1196,structure
1197,winey
1198,acidity
1199,plush
1200,syrupy
1201,mouthfeel
1202,resonant
1203,finish
1204,centered
1205,around
1206,notes
1207,date
1208,blood
1209,orange
1210,clove
1211,crisply
1212,fruit
1213,chocolaty
1214,cocoa
1215,powder
1216,black
1217,cherry
1218,almond
1219,cedar
1220,orange
1221,zest
1222,aroma
1223,cup
1224,richly
1225,bittersweet
1226,structure
1227,brisk
1228,acidity
1229,full
1230,velvety
1231,mouthfeel
1232,finish
1233,consolidates
1234,notes
1235,cocoa
1236,powder
1237,orange
1238,zest
1239,cedar
1240,delicately
1241,sweet
1242,tarty
1243,fruity
1244,lively
1245,baking
1246,chocolate
1247,pomegranate
1248,lime
1249,zest
1250,cashew
1251,butter
1252,oak
1253,aroma
1254,cup
1255,sweet
1256,tart
1257,structure
1258,gently
1259,bright
1260,winey
1261,acidity
1262,crisp
1263,silky
1264,mouthfeel
1265,baking
1266,chocolate
1267,lime
1268,zest
1269,central
1270,finish
1271,bright
1272,richly
1273,sweet
1274,complex
1275,red
1276,currant
1277,jasmine
1278,dark
1279,chocolate
1280,tangerine
1281,zest
1282,maple
1283,syrup
1284,aroma
1285,cup
1286,sweetly
1287,savory
1288,structure
1289,juicy
1290,bright
1291,acidity
1292,crisply
1293,silky
1294,mouthfeel
1295,balanced
1296,integrated
1297,finish
1298,centered
1299,around
1300,notes
1301,red
1302,currant
1303,dark
1304,chocolate
1305,hints
1306,tangerine
1307,zest
1308,long
1309,sweetly
1310,tart
1311,floral
1312,tea
1313,rose
1314,raspberry
1315,coulis
1316,cocoa
1317,nib
1318,watermelon
1319,rind
1320,almond
1321,brittle
1322,aroma
1323,cup
1324,high
1325,structure
1326,winey
1327,acidity
1328,crisply
1329,satiny
1330,mouthfeel
1331,exceptionally
1332,long
1333,harmonious
1334,finish
1335,exhilaratingly
1336,extends
1337,promise
1338,cup
1339,balanced
1340,richly
1341,sweet
1342,spice
1343,apricot
1344,cocoa
1345,nib
1346,lilac
1347,coriander
1348,amber
1349,aroma
1350,cup
1351,deep
1352,sweet
1353,savory
1354,structure
1355,bright
1356,acidity
1357,syrupy
1358,smooth
1359,mouthfeel
1360,finish
1361,crisp
1362,juicy
1363,leading
1364,notes
1365,apricot
1366,coriander
1367,short
1368,rich
1369,cocoa
1370,florals
1371,long
1372,richly
1373,chocolaty
1374,harmoniously
1375,juicy
1376,bright
1377,dark
1378,chocolate
1379,fudge
1380,pomelo
1381,star
1382,jasmine
1383,cedar
1384,marjoram
1385,aroma
1386,cup
1387,sweet
1388,savory
1389,structure
1390,complex
1391,bittersweet
1392,acidity
1393,full
1394,creamy
1395,mouthfeel
1396,resonant
1397,long
1398,flavor
1399,laden
1400,finish
1401,gently
1402,fruit
1403,integrated
1404,balanced
