,0
1586,magnolia
1587,three
1588,parts
1589,milk
1590,plush
1591,flavor
1592,saturated
1593,lingering
1594,evaluated
1595,espresso
1596,complex
1597,richly
1598,tart
1599,sweetly
1600,herbaceous
1601,watermelon
1602,candy
1603,sassafras
1604,star
1605,jasmine
1606,dark
1607,chocolate
1608,hint
1609,eucalyptus
1610,aroma
1611,small
1612,cup
1613,viscous
1614,syrupy
1615,mouthfeel
1616,crisp
1617,sweetly
1618,herbal
1619,finish
1620,cappuccino
1621,format
1622,balanced
1623,bright
1624,deep
1625,juicy
1626,chocolaty
1627,berry
1628,driven
1629,complexly
1630,sweet
1631,savory
1632,mulberry
1633,praline
1634,cocoa
1635,nib
1636,lilac
1637,tangerine
1638,zest
1639,aroma
1640,cup
1641,brightly
1642,sweet
1643,savory
1644,structure
1645,juicy
1646,vibrant
1647,acidity
1648,full
1649,syrupy
1650,smooth
1651,mouthfeel
1652,resonant
1653,lingering
1654,berry
1655,finish
1656,chocolaty
1657,floral
1658,high
1659,delicate
1660,confident
1661,star
1662,jasmine
1663,cocoa
1664,nib
1665,blood
1666,orange
1667,black
1668,sage
1669,sandalwood
1670,aroma
1671,cup
1672,sweet
1673,structure
1674,poised
1675,elegantly
1676,bright
1677,acidity
1678,smooth
1679,silky
1680,mouthfeel
1681,sandalwood
1682,notes
1683,contribute
1684,resonance
1685,floral
1686,finish
1687,balanced
1688,vibrant
1689,complex
1690,mulberry
1691,dark
1692,chocolate
1693,mustard
1694,seed
1695,star
1696,jasmine
1697,sandalwood
1698,aroma
1699,cup
1700,juicy
1701,bright
1702,structure
1703,vibrant
1704,phosphoric
1705,acidity
1706,full
1707,syrupy
1708,mouthfeel
1709,long
1710,flavor
1711,saturated
1712,finish
1713,fruit
1714,forward
1715,elegantly
1716,bright
1717,lychee
1718,passionfruit
1719,cashew
1720,butter
1721,sandalwood
1722,bergamot
1723,aroma
1724,cup
1725,sweetly
1726,tart
1727,vibrant
1728,acidity
1729,crisp
1730,syrupy
1731,mouthfeel
1732,fruit
1733,finish
1734,undertones
1735,cashew
1736,butter
1737,sandalwood
1738,juicy
1739,balanced
1740,bright
1741,bing
1742,cherry
1743,wisteria
1744,cocoa
1745,nib
1746,blood
1747,orange
1748,marjoram
1749,aroma
1750,cup
1751,sweetly
1752,tart
1753,citrusy
1754,acidity
1755,plush
1756,syrupy
1757,mouthfeel
1758,crisply
1759,sweet
1760,finish
1761,centers
1762,around
1763,notes
1764,cherry
1765,cocoa
1766,nib
1767,richly
1768,sweet
1769,high
1770,mulberry
1771,dark
1772,chocolate
1773,agave
1774,syrup
1775,lemon
1776,verbena
1777,cedar
1778,aroma
1779,cup
1780,sweet
1781,structure
1782,juicy
1783,bright
1784,acidity
1785,full
1786,syrupy
1787,mouthfeel
1788,resonant
1789,long
1790,flavor
1791,saturated
1792,finish
1793,fruity
1794,spice
1795,sweetly
1796,fermenty
1797,cherry
1798,liqueur
1799,tiramisu
1800,gardenia
1801,tangerine
1802,zest
1803,sage
1804,aroma
1805,cup
1806,richly
1807,sweet
1808,structure
1809,winey
1810,acidity
1811,plush
1812,creamy
1813,mouthfeel
1814,resonant
1815,finish
1816,driven
1817,notes
1818,cherry
1819,liqueur
1820,gardenia
1821,undertones
1822,sage
1823,richly
1824,aromatic
1825,chocolaty
1826,fruit
1827,driven
1828,dark
1829,chocolate
1830,fudge
1831,dried
1832,blueberry
1833,baking
1834,spices
1835,clove
1836,nutmeg
1837,cinnamon
1838,magnolia
1839,hint
1840,wine
1841,barrel
1842,aroma
1843,cup
1844,deeply
1845,sweet
1846,structure
1847,fruit
1848,acidity
1849,creamy
1850,smooth
1851,mouthfeel
1852,long
1853,resonant
1854,finish
1855,chocolate
1856,flowers
1857,fruit
1858,richly
1859,floral
1860,fruit
1861,balanced
1862,passion
1863,fruit
1864,pink
1865,peppercorn
1866,star
1867,jasmine
1868,cocoa
1869,nib
1870,sandalwood
1871,aroma
1872,cup
1873,sweetly
1874,tart
1875,structure
1876,vibrant
1877,acidity
1878,syrupy
1879,viscous
1880,mouthfeel
1881,spicy
1882,floral
1883,finish
1884,leads
1885,notes
1886,star
1887,jasmine
1888,cocoa
1889,nib
1890,richly
1891,sweet
1892,tart
1893,deeply
1894,nuanced
1895,lychee
1896,pink
1897,grapefruit
1898,zest
1899,sassafras
1900,cocoa
1901,nib
1902,star
1903,jasmine
1904,aroma
1905,cup
1906,deep
1907,balanced
1908,structure
1909,lush
1910,juicy
1911,acidity
1912,viscous
1913,syrupy
1914,mouthfeel
1915,complexly
1916,layered
1917,finish
1918,redolent
1919,lychee
1920,star
1921,jasmine
1922,cocoa
1923,nib
1924,undertones
1925,juicy
1926,bright
1927,confidently
1928,fruit
1929,floral
1930,candy
1931,cap
1932,mushroom
1933,dark
1934,chocolate
1935,kefir
1936,plumeria
1937,mesquite
1938,aroma
1939,cup
1940,tangy
1941,sweet
1942,structure
1943,lactic
1944,acidity
1945,plush
1946,syrupy
1947,mouthfeel
1948,long
1949,resonant
1950,flavor
1951,saturated
1952,finish
1953,deep
1954,floral
1955,chocolaty
1956,dark
1957,chocolate
1958,honeysuckle
1959,tamarind
1960,mulberry
1961,fresh
1962,cut
1963,oak
1964,aroma
1965,cup
1966,sweet
1967,savory
1968,structure
1969,gentle
1970,rounded
1971,vibrant
1972,acidity
1973,syrupy
1974,viscous
1975,mouthfeel
1976,long
1977,lingering
1978,balanced
1979,flavor
1980,saturated
1981,finish
1982,sweetly
1983,herbaceous
1984,richly
1985,spice
1986,pomelo
1987,dark
1988,chocolate
1989,black
1990,sage
1991,candied
1992,tangerine
1993,lilac
1994,aroma
1995,cup
1996,complex
1997,sweet
1998,savory
1999,structure
2000,crisp
2001,vibrant
2002,acidity
2003,plush
2004,syrupy
2005,smooth
2006,mouthfeel
2007,long
2008,lingering
2009,flavor
2010,saturated
2011,finish
2012,deep
2013,complex
2014,aromatically
2015,enticing
2016,red
2017,currant
2018,almond
2019,brittle
2020,hop
2021,flowers
2022,pink
2023,grapefruit
2024,zest
2025,molasses
2026,aroma
2027,cup
2028,richly
2029,bittersweet
2030,balanced
2031,structure
2032,elegant
2033,bright
2034,acidity
2035,syrupy
2036,viscous
2037,mouthfeel
2038,resonant
2039,long
2040,flavor
2041,laden
2042,finish
2043,appealing
2044,complexity
2045,delicately
2046,berry
2047,savory
2048,impulses
2049,dried
2050,strawberry
2051,honey
2052,star
2053,jasmine
2054,fresh
2055,cut
2056,cedar
2057,macadamia
2058,nut
2059,aroma
2060,cup
2061,sweet
2062,savory
2063,structure
2064,vibrant
2065,lively
2066,acidity
2067,full
2068,syrupy
2069,smooth
2070,mouthfeel
2071,resonant
2072,rich
2073,finish
2074,redolent
2075,strawberry
2076,star
2077,jasmine
2078,evaluated
2079,espresso
2080,complex
2081,multi
2082,layered
2083,rich
2084,red
2085,plum
2086,dark
2087,chocolate
2088,cashew
2089,butter
2090,cocoa
2091,nib
2092,hint
2093,rosemary
2094,aroma
2095,small
2096,cup
2097,syrupy
2098,mouthfeel
2099,resonant
2100,flavor
2101,laden
2102,finish
2103,three
2104,parts
2105,milk
2106,red
2107,plum
2108,cashew
2109,butter
2110,take
2111,center
2112,stage
2113,supported
2114,gentle
2115,cocoa
2116,nib
2117,whisper
2118,savory
2119,rosemary
2120,herb
2121,richly
2122,aromatic
2123,complex
2124,multi
2125,layered
2126,lychee
2127,lavender
2128,cocoa
2129,nib
2130,hazelnut
2131,butter
2132,lemon
2133,thyme
2134,aroma
2135,cup
2136,sweet
2137,savory
2138,lively
2139,juicy
2140,acidity
2141,plush
2142,syrupy
2143,mouthfeel
2144,long
2145,resonant
2146,flavor
2147,saturated
2148,finish
2149,juicy
2150,vibrant
2151,tartly
2152,floral
2153,dried
2154,hibiscus
2155,meyer
2156,lemon
2157,zest
